,Node 1,,,,Node 2,,,,Node 3,,,,Node 4,,,,Node 5,,,,Node 6,,,,Node 7,,,,Node 8,,,,Node 9,,,
Time (s),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts)
1863.43908,23.64,49.84,100378,0.0032,23.19,53.27,100390,0,22.94,50.84,100381,0,23.38,47.28,100359,0,24.07,51.49,100283,0,23.45,61.85,100334,0,23.72,50.56,100350,0.0143,22.89,51.38,100321,0.061,22.89,56.12,100274,0.077
1873.55508,23.64,49.76,100381,0.0032,23.19,53.2,100390,0,22.94,50.81,100375,0,23.38,47.18,100359,0,24.07,51.35,100280,0,23.45,61.84,100333,0,23.72,50.61,100349,0.025,22.89,51.12,100320,0.0642,22.89,56.12,100274,0.077
1883.66994,23.64,49.97,100383,0.0032,23.19,53.23,100390,0,22.94,50.97,100377,0,23.38,47.04,100358,0,24.07,51.35,100282,0,23.45,61.83,100332,0,23.71,50.53,100345,0.0179,22.88,51.44,100316,0.0642,22.89,56.15,100275,0.077
1893.78595,23.63,49.85,100378,0.0032,23.19,53.29,100390,0,22.94,50.82,100376,0,23.37,47.06,100355,0,24.06,51.38,100282,0,23.45,61.86,100332,0.0071,23.71,50.57,100347,0.025,22.89,51.4,100316,0.0642,22.89,56.17,100273,0.077
1903.90205,23.63,49.8,100377,0.0032,23.19,53.12,100393,0,22.94,50.91,100372,0,23.37,46.86,100357,0,24.05,51.34,100281,0,23.45,61.82,100333,0,23.71,50.51,100346,0.0179,22.88,51.22,100319,0.0642,22.89,56.15,100278,0.0802
1914.01815,23.63,49.72,100376,0,23.18,53.28,100388,0,22.94,50.85,100378,0,23.37,47.18,100362,0,24.04,51.33,100282,0,23.45,61.85,100337,0.0106,23.71,50.58,100349,0.025,22.88,51.02,100319,0.0642,22.89,56.19,100273,0.0802
1924.1332,23.62,49.91,100375,0,23.18,53.16,100388,0,22.94,50.82,100378,0,23.37,47.07,100358,0,24.04,51.36,100278,0,23.45,61.86,100331,0,23.72,50.44,100343,0.0179,22.88,51.5,100318,0.0674,22.89,56.19,100270,0.0802
1934.24892,23.63,49.81,100379,0.0032,23.18,53.26,100387,0,22.93,50.9,100376,0,23.36,47.08,100357,0,24.03,51.24,100278,0,23.45,61.85,100326,0.0071,23.72,50.52,100343,0.0179,22.88,51.4,100315,0.0674,22.88,56.17,100269,0.0802
1944.36607,23.62,49.88,100377,0,23.19,53.08,100388,0,22.94,50.84,100373,0,23.36,47.17,100357,0,24.02,51.33,100276,0,23.45,61.85,100327,0,23.72,50.5,100347,0.0179,22.88,51.34,100315,0.0674,22.88,56.16,100266,0.0802
1954.48188,23.62,49.84,100379,0.0032,23.18,53.11,100386,0,22.93,50.76,100368,0,23.36,47.18,100355,0,24.02,51.39,100278,0,23.45,61.86,100328,0,23.72,50.51,100346,0.025,22.88,51.63,100314,0.0674,22.89,56.18,100271,0.0802
